Day,Time,State,Airport,Temperature,Humidity,Wind Speed,Wind Direction,Station Pressure,Sea Level Pressure
2.0,1254.0,"Vermont","BTV",33.0,52.0,13.0,310.0,29.59,151.0
2.0,1354.0,"Vermont","BTV",33.0,52.0,11.0,320.0,29.6,151.0
2.0,1454.0,"Vermont","BTV",33.0,54.0,7.0,330.0,29.6,153.0
2.0,1554.0,"Vermont","BTV",32.0,54.0,3.0,60.0,29.61,154.0
2.0,1654.0,"Vermont","BTV",31.0,56.0,3.0,40.0,29.6,152.0
2.0,1754.0,"Vermont","BTV",31.0,54.0,7.0,30.0,29.6,154.0
2.0,1854.0,"Vermont","BTV",30.0,56.0,3.0,50.0,29.6,153.0
2.0,1954.0,"Vermont","BTV",29.0,58.0,3.0,40.0,29.59,149.0
2.0,2054.0,"Vermont","BTV",28.0,63.0,4.0,360.0,29.58,147.0
2.0,2154.0,"Vermont","BTV",28.0,63.0,5.0,10.0,29.56,141.0
2.0,2254.0,"Vermont","BTV",28.0,66.0,3.0,10.0,29.55,137.0
2.0,2354.0,"Vermont","BTV",27.0,69.0,4.0,10.0,29.54,132.0
3.0,54.0,"Vermont","BTV",27.0,66.0,5.0,20.0,29.52,126.0
3.0,154.0,"Vermont","BTV",27.0,66.0,5.0,20.0,29.5,118.0
3.0,254.0,"Vermont","BTV",26.0,71.0,4.0,30.0,29.48,111.0
3.0,354.0,"Vermont","BTV",25.0,88.0,0.0,0.0,29.44,99.0
3.0,454.0,"Vermont","BTV",25.0,88.0,3.0,20.0,29.41,88.0
3.0,554.0,"Vermont","BTV",25.0,92.0,3.0,340.0,29.39,82.0
3.0,654.0,"Vermont","BTV",25.0,92.0,0.0,0.0,29.37,76.0
3.0,754.0,"Vermont","BTV",26.0,92.0,0.0,0.0,29.36,72.0
3.0,854.0,"Vermont","BTV",27.0,89.0,4.0,190.0,29.37,74.0
3.0,954.0,"Vermont","BTV",28.0,88.0,3.0,190.0,29.37,74.0
3.0,1054.0,"Vermont","BTV",29.0,89.0,0.0,0.0,29.35,68.0
3.0,1154.0,"Vermont","BTV",29.0,89.0,3.0,350.0,29.34,63.0
3.0,1254.0,"Vermont","BTV",28.0,92.0,7.0,330.0,29.33,63.0
3.0,1354.0,"Vermont","BTV",27.0,92.0,7.0,330.0,29.34,66.0
3.0,1454.0,"Vermont","BTV",27.0,85.0,6.0,350.0,29.36,73.0
3.0,1554.0,"Vermont","BTV",26.0,88.0,6.0,350.0,29.4,84.0
3.0,1654.0,"Vermont","BTV",24.0,91.0,5.0,360.0,29.42,93.0
3.0,1754.0,"Vermont","BTV",23.0,88.0,10.0,340.0,29.49,117.0
3.0,1854.0,"Vermont","BTV",21.0,88.0,9.0,10.0,29.52,128.0
3.0,1954.0,"Vermont","BTV",20.0,85.0,9.0,360.0,29.56,139.0
3.0,2054.0,"Vermont","BTV",20.0,85.0,5.0,20.0,29.58,147.0
3.0,2154.0,"Vermont","BTV",20.0,85.0,7.0,30.0,29.6,153.0
3.0,2254.0,"Vermont","BTV",20.0,81.0,6.0,20.0,29.62,160.0
3.0,2354.0,"Vermont","BTV",19.0,81.0,4.0,60.0,29.63,165.0
4.0,54.0,"Vermont","BTV",20.0,81.0,4.0,70.0,29.64,166.0
4.0,154.0,"Vermont","BTV",19.0,85.0,3.0,100.0,29.64,168.0
4.0,254.0,"Vermont","BTV",16.0,84.0,0.0,0.0,29.65,170.0
4.0,354.0,"Vermont","BTV",18.0,84.0,4.0,110.0,29.64,168.0
4.0,454.0,"Vermont","BTV",19.0,85.0,3.0,150.0,29.64,167.0
4.0,554.0,"Vermont","BTV",19.0,85.0,3.0,190.0,29.63,164.0
4.0,654.0,"Vermont","BTV",18.0,84.0,0.0,0.0,29.63,167.0
4.0,754.0,"Vermont","BTV",16.0,92.0,4.0,130.0,29.65,171.0
4.0,854.0,"Vermont","BTV",19.0,81.0,3.0,150.0,29.63,167.0
4.0,954.0,"Vermont","BTV",24.0,71.0,10.0,190.0,29.62,160.0
4.0,1054.0,"Vermont","BTV",26.0,66.0,11.0,190.0,29.6,153.0
4.0,1154.0,"Vermont","BTV",28.0,63.0,14.0,180.0,29.54,135.0
4.0,1254.0,"Vermont","BTV",30.0,61.0,14.0,170.0,29.51,123.0
4.0,1354.0,"Vermont","BTV",31.0,64.0,16.0,190.0,29.46,107.0
4.0,1454.0,"Vermont","BTV",31.0,64.0,11.0,170.0,29.44,101.0
4.0,1554.0,"Vermont","BTV",32.0,59.0,15.0,180.0,29.42,93.0
4.0,1654.0,"Vermont","BTV",32.0,59.0,18.0,180.0,29.4,86.0
4.0,1754.0,"Vermont","BTV",33.0,56.0,17.0,180.0,29.4,84.0
4.0,1854.0,"Vermont","BTV",33.0,56.0,19.0,180.0,29.37,76.0
4.0,1954.0,"Vermont","BTV",34.0,56.0,17.0,190.0,29.37,77.0
4.0,2054.0,"Vermont","BTV",34.0,59.0,19.0,190.0,29.35,69.0
4.0,2154.0,"Vermont","BTV",33.0,72.0,19.0,190.0,29.34,65.0
4.0,2254.0,"Vermont","BTV",34.0,73.0,17.0,180.0,29.33,61.0
4.0,2354.0,"Vermont","BTV",35.0,72.0,19.0,190.0,29.33,61.0
5.0,54.0,"Vermont","BTV",36.0,73.0,16.0,190.0,29.33,60.0
5.0,154.0,"Vermont","BTV",37.0,70.0,13.0,190.0,29.35,68.0
5.0,254.0,"Vermont","BTV",37.0,70.0,12.0,190.0,29.36,70.0
5.0,354.0,"Vermont","BTV",37.0,73.0,10.0,200.0,29.38,77.0
5.0,454.0,"Vermont","BTV",38.0,73.0,5.0,250.0,29.4,86.0
5.0,554.0,"Vermont","BTV",41.0,65.0,8.0,270.0,29.43,96.0
5.0,654.0,"Vermont","BTV",37.0,82.0,16.0,340.0,29.48,111.0
5.0,754.0,"Vermont","BTV",34.0,79.0,15.0,340.0,29.54,131.0
5.0,854.0,"Vermont","BTV",30.0,75.0,20.0,350.0,29.62,160.0
5.0,954.0,"Vermont","BTV",27.0,47.0,19.0,360.0,29.7,188.0
5.0,1054.0,"Vermont","BTV",27.0,32.0,15.0,360.0,29.74,202.0
5.0,1154.0,"Vermont","BTV",26.0,38.0,14.0,360.0,29.76,207.0
5.0,1254.0,"Vermont","BTV",25.0,39.0,14.0,10.0,29.77,211.0
5.0,1354.0,"Vermont","BTV",25.0,42.0,11.0,350.0,29.8,223.0
5.0,1454.0,"Vermont","BTV",24.0,44.0,11.0,360.0,29.84,234.0
5.0,1554.0,"Vermont","BTV",22.0,48.0,6.0,10.0,29.88,249.0
5.0,1654.0,"Vermont","BTV",21.0,54.0,7.0,360.0,29.9,259.0
5.0,1754.0,"Vermont","BTV",21.0,47.0,11.0,330.0,29.93,270.0
5.0,1854.0,"Vermont","BTV",18.0,54.0,6.0,360.0,29.95,277.0
5.0,1954.0,"Vermont","BTV",17.0,62.0,4.0,20.0,29.97,282.0
5.0,2054.0,"Vermont","BTV",16.0,62.0,0.0,0.0,29.99,291.0
5.0,2154.0,"Vermont","BTV",15.0,64.0,4.0,80.0,29.99,290.0
5.0,2254.0,"Vermont","BTV",14.0,67.0,3.0,80.0,30.01,297.0
5.0,2354.0,"Vermont","BTV",14.0,71.0,3.0,90.0,30.03,305.0
6.0,54.0,"Vermont","BTV",13.0,74.0,4.0,100.0,30.02,301.0
6.0,154.0,"Vermont","BTV",11.0,81.0,4.0,80.0,30.03,306.0
6.0,254.0,"Vermont","BTV",11.0,84.0,3.0,70.0,30.05,310.0
6.0,354.0,"Vermont","BTV",13.0,77.0,4.0,70.0,30.04,310.0
6.0,454.0,"Vermont","BTV",13.0,81.0,5.0,70.0,30.05,313.0
6.0,554.0,"Vermont","BTV",13.0,77.0,3.0,70.0,30.04,308.0
6.0,654.0,"Vermont","BTV",14.0,73.0,3.0,90.0,30.04,308.0
6.0,754.0,"Vermont","BTV",16.0,71.0,0.0,0.0,30.06,314.0
6.0,854.0,"Vermont","BTV",17.0,64.0,4.0,90.0,30.06,316.0
6.0,954.0,"Vermont","BTV",18.0,60.0,0.0,0.0,30.07,319.0
6.0,1054.0,"Vermont","BTV",20.0,50.0,5.0,80.0,30.04,309.0
6.0,1154.0,"Vermont","BTV",20.0,57.0,0.0,0.0,30.03,305.0
6.0,1254.0,"Vermont","BTV",22.0,44.0,3.0,200.0,30.02,300.0
6.0,1354.0,"Vermont","BTV",21.0,62.0,6.0,160.0,30.0,293.0
6.0,1454.0,"Vermont","BTV",21.0,74.0,5.0,110.0,29.98,287.0
6.0,1554.0,"Vermont","BTV",22.0,75.0,6.0,110.0,29.96,280.0
6.0,1654.0,"Vermont","BTV",22.0,71.0,6.0,90.0,29.96,282.0
6.0,1754.0,"Vermont","BTV",22.0,71.0,5.0,120.0,29.95,276.0
6.0,1854.0,"Vermont","BTV",23.0,68.0,8.0,80.0,29.95,276.0
6.0,1954.0,"Vermont","BTV",23.0,74.0,6.0,90.0,29.93,271.0
6.0,2054.0,"Vermont","BTV",23.0,74.0,5.0,120.0,29.93,272.0
6.0,2154.0,"Vermont","BTV",23.0,78.0,6.0,140.0,29.93,271.0
6.0,2254.0,"Vermont","BTV",23.0,85.0,6.0,140.0,29.92,267.0
6.0,2354.0,"Vermont","BTV",24.0,81.0,5.0,130.0,29.93,269.0
7.0,54.0,"Vermont","BTV",24.0,88.0,4.0,150.0,29.92,266.0
7.0,154.0,"Vermont","BTV",24.0,91.0,0.0,0.0,29.91,264.0
7.0,254.0,"Vermont","BTV",25.0,88.0,0.0,0.0,29.9,258.0
7.0,354.0,"Vermont","BTV",25.0,92.0,0.0,0.0,29.88,248.0
7.0,454.0,"Vermont","BTV",26.0,88.0,4.0,170.0,29.87,246.0
7.0,554.0,"Vermont","BTV",27.0,89.0,0.0,0.0,29.86,244.0
7.0,654.0,"Vermont","BTV",28.0,85.0,3.0,170.0,29.85,237.0
7.0,754.0,"Vermont","BTV",28.0,88.0,0.0,0.0,29.83,233.0
7.0,854.0,"Vermont","BTV",29.0,89.0,6.0,180.0,29.83,232.0
7.0,954.0,"Vermont","BTV",30.0,82.0,8.0,190.0,29.83,230.0
7.0,1054.0,"Vermont","BTV",31.0,82.0,6.0,180.0,29.79,218.0
7.0,1154.0,"Vermont","BTV",32.0,79.0,6.0,180.0,29.73,198.0
7.0,1254.0,"Vermont","BTV",34.0,76.0,5.0,190.0,29.69,183.0
7.0,1354.0,"Vermont","BTV",35.0,70.0,12.0,150.0,29.63,164.0
7.0,1454.0,"Vermont","BTV",35.0,72.0,12.0,150.0,29.58,145.0
7.0,1554.0,"Vermont","BTV",34.0,82.0,12.0,150.0,29.54,133.0
7.0,1654.0,"Vermont","BTV",34.0,85.0,7.0,180.0,29.5,119.0
7.0,1754.0,"Vermont","BTV",33.0,92.0,8.0,190.0,29.44,100.0
7.0,1854.0,"Vermont","BTV",37.0,76.0,10.0,180.0,29.4,84.0
7.0,1954.0,"Vermont","BTV",34.0,89.0,8.0,180.0,29.38,77.0
7.0,2054.0,"Vermont","BTV",34.0,89.0,9.0,190.0,29.36,71.0
7.0,2154.0,"Vermont","BTV",35.0,89.0,8.0,180.0,29.33,60.0
7.0,2254.0,"Vermont","BTV",35.0,89.0,11.0,150.0,29.27,41.0
7.0,2354.0,"Vermont","BTV",35.0,93.0,9.0,180.0,29.24,29.0
8.0,54.0,"Vermont","BTV",36.0,93.0,9.0,180.0,29.22,22.0
8.0,154.0,"Vermont","BTV",37.0,89.0,8.0,180.0,29.2,17.0
8.0,254.0,"Vermont","BTV",37.0,93.0,8.0,180.0,29.17,6.0
8.0,354.0,"Vermont","BTV",38.0,89.0,6.0,180.0,29.13,994.0
8.0,454.0,"Vermont","BTV",39.0,89.0,12.0,200.0,29.13,994.0
8.0,554.0,"Vermont","BTV",40.0,93.0,11.0,210.0,29.17,5.0
8.0,654.0,"Vermont","BTV",42.0,85.0,10.0,200.0,29.2,14.0
8.0,754.0,"Vermont","BTV",41.0,82.0,12.0,230.0,29.22,25.0
8.0,854.0,"Vermont","BTV",41.0,79.0,8.0,230.0,29.27,42.0
8.0,954.0,"Vermont","BTV",42.0,73.0,8.0,250.0,29.33,59.0
8.0,1054.0,"Vermont","BTV",41.0,74.0,8.0,260.0,29.34,65.0
8.0,1154.0,"Vermont","BTV",42.0,71.0,9.0,290.0,29.38,76.0
8.0,1254.0,"Vermont","BTV",42.0,68.0,12.0,290.0,29.41,87.0
8.0,1354.0,"Vermont","BTV",42.0,68.0,12.0,280.0,29.44,97.0
8.0,1454.0,"Vermont","BTV",41.0,65.0,11.0,310.0,29.49,114.0
8.0,1554.0,"Vermont","BTV",40.0,68.0,13.0,320.0,29.53,129.0
8.0,1654.0,"Vermont","BTV",39.0,67.0,15.0,320.0,29.58,144.0
8.0,1754.0,"Vermont","BTV",39.0,67.0,14.0,300.0,29.62,158.0
8.0,1854.0,"Vermont","BTV",35.0,72.0,6.0,20.0,29.66,172.0
8.0,1954.0,"Vermont","BTV",34.0,73.0,5.0,70.0,29.69,183.0
8.0,2054.0,"Vermont","BTV",34.0,73.0,3.0,40.0,29.7,187.0
8.0,2154.0,"Vermont","BTV",34.0,73.0,0.0,0.0,29.72,193.0
8.0,2254.0,"Vermont","BTV",33.0,75.0,4.0,10.0,29.74,201.0
8.0,2354.0,"Vermont","BTV",33.0,75.0,6.0,20.0,29.77,210.0
9.0,54.0,"Vermont","BTV",33.0,75.0,6.0,20.0,29.78,212.0
9.0,154.0,"Vermont","BTV",33.0,72.0,5.0,20.0,29.8,221.0
9.0,254.0,"Vermont","BTV",32.0,75.0,4.0,360.0,29.81,224.0
9.0,354.0,"Vermont","BTV",31.0,76.0,4.0,30.0,29.82,226.0
9.0,454.0,"Vermont","BTV",31.0,76.0,6.0,50.0,29.82,228.0
9.0,554.0,"Vermont","BTV",30.0,79.0,4.0,80.0,29.83,230.0
9.0,654.0,"Vermont","BTV",30.0,82.0,0.0,0.0,29.83,232.0
9.0,754.0,"Vermont","BTV",30.0,79.0,3.0,80.0,29.83,232.0
9.0,854.0,"Vermont","BTV",32.0,75.0,0.0,0.0,29.84,234.0
9.0,954.0,"Vermont","BTV",33.0,72.0,0.0,0.0,29.85,238.0
9.0,1054.0,"Vermont","BTV",34.0,70.0,0.0,0.0,29.83,231.0
9.0,1154.0,"Vermont","BTV",36.0,67.0,0.0,0.0,29.8,221.0
9.0,1254.0,"Vermont","BTV",36.0,67.0,0.0,0.0,29.77,210.0
9.0,1354.0,"Vermont","BTV",37.0,65.0,0.0,0.0,29.75,202.0
9.0,1454.0,"Vermont","BTV",36.0,70.0,3.0,230.0,29.75,202.0
9.0,1554.0,"Vermont","BTV",35.0,72.0,4.0,190.0,29.73,197.0
9.0,1654.0,"Vermont","BTV",33.0,78.0,3.0,140.0,29.71,191.0
9.0,1754.0,"Vermont","BTV",35.0,70.0,4.0,150.0,29.71,189.0
9.0,1854.0,"Vermont","BTV",34.0,73.0,4.0,160.0,29.68,180.0
9.0,1954.0,"Vermont","BTV",34.0,73.0,3.0,160.0,29.68,179.0
9.0,2054.0,"Vermont","BTV",34.0,73.0,6.0,140.0,29.65,170.0
9.0,2154.0,"Vermont","BTV",35.0,70.0,3.0,180.0,29.62,159.0
9.0,2254.0,"Vermont","BTV",35.0,72.0,5.0,140.0,29.62,159.0
9.0,2354.0,"Vermont","BTV",36.0,67.0,4.0,160.0,29.61,157.0
10.0,54.0,"Vermont","BTV",36.0,70.0,6.0,160.0,29.61,157.0
10.0,154.0,"Vermont","BTV",35.0,82.0,5.0,160.0,29.63,161.0
10.0,254.0,"Vermont","BTV",34.0,89.0,8.0,140.0,29.62,159.0
10.0,354.0,"Vermont","BTV",33.0,92.0,6.0,140.0,29.6,152.0
10.0,454.0,"Vermont","BTV",33.0,96.0,3.0,140.0,29.58,144.0
10.0,554.0,"Vermont","BTV",34.0,92.0,0.0,0.0,29.57,142.0
10.0,654.0,"Vermont","BTV",33.0,96.0,0.0,0.0,29.59,150.0
10.0,754.0,"Vermont","BTV",33.0,96.0,4.0,160.0,29.57,144.0
10.0,854.0,"Vermont","BTV",34.0,97.0,0.0,0.0,29.55,137.0
10.0,954.0,"Vermont","BTV",36.0,93.0,0.0,0.0,29.54,132.0
10.0,1054.0,"Vermont","BTV",38.0,86.0,0.0,0.0,29.52,126.0
10.0,1154.0,"Vermont","BTV",39.0,86.0,0.0,0.0,29.5,119.0
10.0,1254.0,"Vermont","BTV",39.0,82.0,3.0,110.0,29.48,110.0
10.0,1354.0,"Vermont","BTV",39.0,82.0,4.0,120.0,29.45,100.0
10.0,1454.0,"Vermont","BTV",39.0,82.0,4.0,110.0,29.43,95.0
10.0,1554.0,"Vermont","BTV",39.0,79.0,5.0,90.0,29.41,88.0
10.0,1654.0,"Vermont","BTV",38.0,86.0,6.0,90.0,29.37,74.0
10.0,1754.0,"Vermont","BTV",38.0,83.0,12.0,110.0,29.36,70.0
10.0,1854.0,"Vermont","BTV",37.0,89.0,0.0,0.0,29.35,66.0
10.0,1954.0,"Vermont","BTV",34.0,97.0,4.0,340.0,29.32,57.0
10.0,2054.0,"Vermont","BTV",33.0,100.0,4.0,340.0,29.27,41.0
10.0,2154.0,"Vermont","BTV",33.0,96.0,3.0,10.0,29.28,43.0
10.0,2254.0,"Vermont","BTV",32.0,100.0,0.0,0.0,29.24,29.0
10.0,2354.0,"Vermont","BTV",33.0,96.0,0.0,0.0,29.2,15.0
11.0,54.0,"Vermont","BTV",33.0,92.0,4.0,60.0,29.14,997.0
11.0,154.0,"Vermont","BTV",33.0,96.0,4.0,50.0,29.1,984.0
11.0,254.0,"Vermont","BTV",33.0,96.0,4.0,30.0,29.07,972.0
11.0,354.0,"Vermont","BTV",33.0,96.0,4.0,300.0,29.06,969.0
11.0,454.0,"Vermont","BTV",32.0,100.0,4.0,310.0,29.04,961.0
11.0,554.0,"Vermont","BTV",32.0,100.0,0.0,0.0,29.02,956.0
11.0,654.0,"Vermont","BTV",33.0,96.0,0.0,0.0,29.02,955.0
11.0,754.0,"Vermont","BTV",33.0,96.0,0.0,0.0,29.01,952.0
11.0,854.0,"Vermont","BTV",33.0,100.0,0.0,0.0,29.0,950.0
11.0,954.0,"Vermont","BTV",34.0,97.0,0.0,0.0,28.99,945.0
11.0,1054.0,"Vermont","BTV",34.0,97.0,0.0,0.0,28.98,940.0
11.0,1154.0,"Vermont","BTV",34.0,100.0,0.0,0.0,28.97,938.0
11.0,1254.0,"Vermont","BTV",34.0,97.0,0.0,0.0,28.95,932.0
11.0,1354.0,"Vermont","BTV",34.0,100.0,0.0,0.0,28.93,926.0
11.0,1454.0,"Vermont","BTV",33.0,100.0,0.0,0.0,28.93,926.0
11.0,1554.0,"Vermont","BTV",32.0,100.0,0.0,0.0,28.94,929.0
11.0,1654.0,"Vermont","BTV",32.0,100.0,0.0,0.0,28.96,935.0
11.0,1754.0,"Vermont","BTV",32.0,96.0,5.0,330.0,28.97,939.0
11.0,1854.0,"Vermont","BTV",32.0,96.0,5.0,350.0,28.98,943.0
11.0,1954.0,"Vermont","BTV",31.0,96.0,5.0,350.0,29.01,950.0
11.0,2054.0,"Vermont","BTV",31.0,92.0,7.0,20.0,29.02,955.0
11.0,2154.0,"Vermont","BTV",30.0,92.0,4.0,40.0,29.03,960.0
11.0,2254.0,"Vermont","BTV",31.0,89.0,0.0,0.0,29.05,966.0
11.0,2354.0,"Vermont","BTV",31.0,89.0,4.0,50.0,29.06,970.0
12.0,54.0,"Vermont","BTV",30.0,96.0,0.0,0.0,29.07,973.0
12.0,154.0,"Vermont","BTV",30.0,96.0,0.0,0.0,29.09,978.0
12.0,254.0,"Vermont","BTV",30.0,92.0,0.0,0.0,29.1,981.0
12.0,354.0,"Vermont","BTV",30.0,92.0,0.0,0.0,29.09,980.0
12.0,454.0,"Vermont","BTV",30.0,92.0,0.0,0.0,29.1,983.0
12.0,554.0,"Vermont","BTV",30.0,92.0,0.0,0.0,29.11,988.0
12.0,654.0,"Vermont","BTV",31.0,89.0,6.0,310.0,29.13,992.0
12.0,754.0,"Vermont","BTV",31.0,79.0,8.0,290.0,29.16,2.0
12.0,854.0,"Vermont","BTV",30.0,85.0,4.0,310.0,29.17,8.0
12.0,954.0,"Vermont","BTV",30.0,79.0,5.0,310.0,29.19,13.0
12.0,1054.0,"Vermont","BTV",30.0,79.0,6.0,330.0,29.18,10.0
12.0,1154.0,"Vermont","BTV",31.0,79.0,5.0,330.0,29.18,9.0
12.0,1254.0,"Vermont","BTV",31.0,76.0,11.0,320.0,29.18,11.0
12.0,1354.0,"Vermont","BTV",30.0,79.0,7.0,340.0,29.18,12.0
12.0,1454.0,"Vermont","BTV",29.0,85.0,4.0,60.0,29.18,12.0
12.0,1554.0,"Vermont","BTV",29.0,82.0,4.0,60.0,29.2,18.0
12.0,1654.0,"Vermont","BTV",28.0,88.0,0.0,0.0,29.21,21.0
12.0,1754.0,"Vermont","BTV",28.0,88.0,3.0,100.0,29.22,23.0
12.0,1854.0,"Vermont","BTV",28.0,88.0,3.0,90.0,29.21,19.0
12.0,1954.0,"Vermont","BTV",28.0,88.0,3.0,90.0,29.19,15.0
12.0,2054.0,"Vermont","BTV",28.0,88.0,3.0,110.0,29.17,9.0
12.0,2154.0,"Vermont","BTV",30.0,85.0,5.0,170.0,29.16,5.0
12.0,2254.0,"Vermont","BTV",30.0,85.0,5.0,180.0,29.16,4.0
12.0,2354.0,"Vermont","BTV",31.0,82.0,12.0,190.0,29.14,998.0
13.0,54.0,"Vermont","BTV",30.0,96.0,4.0,160.0,29.12,991.0
13.0,154.0,"Vermont","BTV",30.0,96.0,3.0,120.0,29.11,986.0
13.0,254.0,"Vermont","BTV",32.0,92.0,5.0,170.0,29.09,982.0
13.0,354.0,"Vermont","BTV",32.0,92.0,7.0,170.0,29.07,974.0
13.0,454.0,"Vermont","BTV",33.0,92.0,9.0,190.0,29.06,971.0
13.0,554.0,"Vermont","BTV",34.0,89.0,6.0,190.0,29.06,971.0
13.0,654.0,"Vermont","BTV",34.0,89.0,8.0,190.0,29.06,971.0
13.0,754.0,"Vermont","BTV",34.0,92.0,7.0,190.0,29.06,969.0
13.0,854.0,"Vermont","BTV",34.0,92.0,4.0,190.0,29.07,973.0
13.0,954.0,"Vermont","BTV",34.0,92.0,6.0,190.0,29.08,977.0
13.0,1054.0,"Vermont","BTV",34.0,97.0,8.0,190.0,29.07,972.0
13.0,1154.0,"Vermont","BTV",36.0,89.0,7.0,200.0,29.07,971.0
13.0,1254.0,"Vermont","BTV",36.0,89.0,7.0,200.0,29.07,971.0
13.0,1354.0,"Vermont","BTV",37.0,89.0,5.0,210.0,29.07,973.0
13.0,1454.0,"Vermont","BTV",37.0,86.0,4.0,210.0,29.09,979.0
13.0,1554.0,"Vermont","BTV",37.0,89.0,3.0,220.0,29.11,986.0
13.0,1654.0,"Vermont","BTV",37.0,82.0,6.0,300.0,29.13,993.0
13.0,1754.0,"Vermont","BTV",32.0,96.0,7.0,350.0,29.17,6.0
13.0,1854.0,"Vermont","BTV",30.0,88.0,10.0,20.0,29.2,17.0
13.0,1954.0,"Vermont","BTV",29.0,92.0,8.0,10.0,29.23,27.0
13.0,2054.0,"Vermont","BTV",28.0,88.0,8.0,360.0,29.25,35.0
13.0,2154.0,"Vermont","BTV",28.0,92.0,3.0,350.0,29.27,42.0
13.0,2254.0,"Vermont","BTV",25.0,88.0,14.0,330.0,29.31,55.0
13.0,2354.0,"Vermont","BTV",21.0,88.0,13.0,310.0,29.35,68.0
14.0,54.0,"Vermont","BTV",22.0,68.0,9.0,320.0,29.37,76.0
14.0,154.0,"Vermont","BTV",20.0,81.0,11.0,320.0,29.41,90.0
14.0,254.0,"Vermont","BTV",18.0,74.0,11.0,320.0,29.45,102.0
14.0,354.0,"Vermont","BTV",17.0,68.0,10.0,310.0,29.48,112.0
14.0,454.0,"Vermont","BTV",16.0,67.0,10.0,310.0,29.51,123.0
14.0,554.0,"Vermont","BTV",16.0,67.0,11.0,300.0,29.55,139.0
14.0,654.0,"Vermont","BTV",16.0,67.0,11.0,310.0,29.59,149.0
14.0,754.0,"Vermont","BTV",16.0,67.0,11.0,310.0,29.63,165.0
14.0,854.0,"Vermont","BTV",17.0,64.0,10.0,310.0,29.67,179.0
14.0,954.0,"Vermont","BTV",17.0,68.0,17.0,340.0,29.69,185.0
14.0,1054.0,"Vermont","BTV",18.0,68.0,12.0,340.0,29.69,186.0
14.0,1154.0,"Vermont","BTV",18.0,65.0,12.0,330.0,29.7,188.0
14.0,1254.0,"Vermont","BTV",19.0,65.0,11.0,330.0,29.7,189.0
14.0,1354.0,"Vermont","BTV",20.0,68.0,7.0,340.0,29.71,194.0
